STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
35,61,971400,1400000US35061971400,35061971400,9714,Valencia,NM,New Mexico,"Census Tract 9714, Valencia County, New Mexico",3220,339,5148,0.3702,0.0518,0.3702,0.084,0,0.0244,0.1264,0.2092,0.36,0.0457,0,0.3718,0,0,0,0,0.3718,0.261,1,0.0934,0.4675,1.5609,0.5,0.4977,0.2548,0,0.7525,0.3111,0.2671,0.2671,0.2671,3.3123,0.0405,0.7878,0.7878,0.7878,0.3455,0.2736,0.8467,0.15,0.3243,0.0087,0.4117,2.3605,0.2603,0.3509,0.8701,0.4175,0.2137,1.8522,0.3653,0.7668,0,0.7668,0.4523,5.7673,0.3297,0,0,0,0,0,0,0,0,5.67,0.16,24.31,0,2.87,0,0,0,0,0,15.87,9.67,34.8,10.19,0,15.06,67.5,22.4845,5.7,9.2,13.6,21.4153,0.4,14,13.2,28.7,11.4,0.2,8.6,0,25.1,9.7,5.7,13.2,9.5,0.1349,0.4859,0.2923,0.344,0.4088
35,61,971300,1400000US35061971300,35061971300,9713,Valencia,NM,New Mexico,"Census Tract 9713, Valencia County, New Mexico",1662,209,1003,1.6241,0.6785,1.0241,0.5374,0,0.0104,0.0549,0.1219,0.1872,0.0282,0,0.2866,0,0,0,0,0.2866,0.2194,1,0.1,0.9627,2.0627,0.852,0.3638,0.1993,0.8768,1.4399,0.705,0.3473,0.3473,0.3473,4.3237,0.1577,0.7131,0.7131,0.7131,0.8244,0.6252,0.6849,0.0861,0.4118,0.9315,0.901,4.4649,0.7069,0.7562,0.0838,0.9026,0.8143,2.5569,0.8892,0.9975,0.5876,1.5851,0.9196,9.32,0.8664,0,1,0,1,1,3,0.6,0,5.04,0.11,21.57,0,0.08,0,0,0,0,0,17.22,3.5,12.99,2.67,1.77,25.78,54.5,50.6017,12.9,6.5,10,23.7337,20.4,34,20.2,12.8,21.2,6.8,64.2,0.5,32.6,11.4,6.4,17.2,14.7,0.5419,0.848,0.4287,0.8456,0.8115
35,61,971100,1400000US35061971100,35061971100,9711,Valencia,NM,New Mexico,"Census Tract 9711, Valencia County, New Mexico",1320,229,578,1.751,0.7312,0.951,0.478,0,0.015,0.078,0.0982,0.1912,0.0287,0,0.3171,0,0,0,0,0.3171,0.2342,0.7048,0.1814,0.9937,1.8799,0.74,0.3783,0,0,0.3783,0.1231,0.3734,0.3734,0.3734,3.1399,0.0296,0.7736,0.7736,0.7736,0.7026,0.8723,0.8157,0.3554,0.4634,0.9469,0.9615,5.1178,0.824,0.4702,0.9037,0.744,0.819,2.9369,0.9837,0.994,0,0.994,0.6644,9.8223,0.9214,1,1,0,1,1,4,0.8,0,5.34,0.13,20.73,0,0.7,0,0,0,0,20.04,30.23,2.33,15.07,0,0,29.29,64.8,41.2879,24.3,8.5,23.5,25.1586,22.2,42.7,15.2,29.9,16.6,7,53.2,0,35.2,11.5,6.3,17.9,16.3,0.6858,0.8594,0.4075,0.9067,0.8542
35,61,971000,1400000US35061971000,35061971000,9710,Valencia,NM,New Mexico,"Census Tract 9710, Valencia County, New Mexico",4568,20,2348,1.6162,0.6752,0.8162,0.3679,0,0.0274,0.2946,0.1178,0.4398,0.057,0,0.4994,0,0,0,0,0.4994,0.3232,0.5922,0.3455,0.8809,1.8186,0.7,0.5095,0,0,0.5095,0.1697,0.4861,0.4861,0.4861,3.7534,0.0805,0.696,0.696,0.696,0.7861,0.5842,0.2569,0.3656,0.7774,0.3622,0.8739,4.0063,0.6145,0.9214,0.5019,0.9749,0.4409,2.8391,0.9706,0.7889,0,0.7889,0.4684,8.3303,0.7357,1,1,1,0,1,4,0.8,0,5.74,0.26,21.43,0,14.46,0,0,0,0,51.58,48.09,4.71,37.28,0,0,45.58,52,47.3292,11.8,3.1,24,37.0798,5.2,31.8,26.1,22.1,26.7,1,10,0,35.9,10.5,8.7,14.2,15.5,0.7185,0.6964,0.9013,0.8798,0.5265
35,61,970902,1400000US35061970902,35061970902,9709.02,Valencia,NM,New Mexico,"Census Tract 9709.02, Valencia County, New Mexic",1916,338,1108,1.4897,0.6178,1.2897,0.7219,0,0.0236,0.6095,0.1783,0.8114,0.1189,0,0.3902,0,0,0,0,0.3902,0.2699,0.7824,0.3897,0.9813,2.1534,0.8956,0.7,0.5089,0,1.2089,0.5791,0.8187,0.8187,0.8186,5.3826,0.3739,0.8008,0.8008,0.8008,0.8195,0.7296,0.9239,0.1068,0.7045,0.5229,0.9403,4.7475,0.7598,0.8775,0.2894,0.9169,0.4409,2.5247,0.8754,0.9769,0.7121,1.689,0.9581,9.762,0.9158,0,0,0,0,1,1,0.2,0,5.65,0.49,23.43,0,3.81,0,0,0,0,6.49,52,3,85.34,53.34,0,97.79,69.8,50.1566,16.4,12.1,11.3,33.5821,7.4,38.7,23.7,19,21.9,1,38.4,1.2,31.7,10.2,6.7,14.7,15,0.4877,0.6245,0.4939,0.8592,0.5837
35,61,970901,1400000US35061970901,35061970901,9709.01,Valencia,NM,New Mexico,"Census Tract 9709.01, Valencia County, New Mexic",4956,467,4067,1.671,0.698,1.071,0.5731,0,0.0297,0.8239,0.2147,1.0683,0.1833,0,0,0,0,0,0,0,0,0.6453,0.4104,0.4682,1.5239,0.4662,0.7094,0.353,0,1.0624,0.5124,0.5084,0.5084,0.5084,4.163,0.1331,0.8247,0.8247,0.8247,0.8321,0.7722,0.9614,0.397,0.4233,0.5781,0.8988,4.8629,0.7808,0.4826,0.6511,0.9735,0.5088,2.616,0.9137,0.9317,0.7705,1.7022,0.9621,10.0058,0.9379,0,1,0,1,1,3,0.6,0,5.81,0.74,24.44,0,0,0,0,0,0,35.34,53.8,9.63,87.67,23.99,0,49.18,74.4,51.3458,18.2,15.2,25.6,24.0447,8.3,33.8,15.4,24.2,26.5,1.4,25.6,1.8,33.9,10.6,6.5,15.9,15.8,0.6164,0.718,0.4494,0.8909,0.7053
35,61,970800,1400000US35061970800,35061970800,9708,Valencia,NM,New Mexico,"Census Tract 9708, Valencia County, New Mexico",5730,936,6549,1.3219,0.5358,1.1219,0.6107,0,0.0305,0.8847,0.2446,1.1598,0.2102,0,0.3372,0,0,0,0,0.3372,0.244,1,0.4732,0.3512,1.8244,0.7039,0.6993,0.5646,0,1.2639,0.6059,0.5056,0.5056,0.5056,5.0909,0.3086,0.8231,0.8231,0.8231,0.7093,0.5593,0.537,0.5898,0.5523,0.5906,0.82,4.3583,0.6868,0.6281,0.5761,0.933,0.3749,2.5121,0.8699,0.8185,0.3832,1.2017,0.7333,8.8952,0.8133,0,0,0,0,1,1,0.2,0,5.83,0.87,25.22,0,1.37,0,0,0,0,0,59.21,11.77,85.17,65.83,0,48.68,74.09999999999998,41.7324,11.2,5.1,37.7,27.8525,8.5,28.3,17.8,23.1,22.8,0.7,12.2,0.1,32.8,10.1,6.2,14.8,14.5,0.5536,0.5987,0.3868,0.8353,0.5944
35,61,970700,1400000US35061970700,35061970700,9707,Valencia,NM,New Mexico,"Census Tract 9707, Valencia County, New Mexico",7167,720,4999,1.1846,0.4606,1.1846,0.6535,0,0.0339,0.4583,0.1547,0.6469,0.0886,0.9338,0.4654,0,0,0,0,1.3992,0.718,1,0.291,0.8782,2.1692,0.9025,0.6391,0.4335,0.9404,2.013,0.9466,0.1619,0.1619,0.162,6.3902,0.6036,0.7765,0.7765,0.7765,0.308,0.81,0.0266,0.0062,0.18,0.058,0.8701,2.2589,0.2416,0.5982,0.5316,0.9755,0.2881,2.3934,0.8061,0.9323,0.9636,1.8959,0.9948,7.3247,0.581,0,0,0,0,0,0,0,0,5.93,0.37,22.7,2.44,10.01,0,0,0,0,0,42.89,4.75,69.29,37.86,22,2.9,65.3,20.654,20.1,0.9,2.2,17.5273,1.5,31.5,17.3,22.5,26.8,0.4,25.7,15.7,27.4,9.5,5.6,13.9,11.2,0.2385,0.4269,0.2747,0.5598,0.4916
35,61,970405,1400000US35061970405,35061970405,9704.05,Valencia,NM,New Mexico,"Census Tract 9704.05, Valencia County, New Mexic",3906,453,2015,0.4622,0.0808,0.4622,0.1276,0,0.0319,0.3091,0.1349,0.4759,0.0626,0,0.4509,0,0,0,0,0.4509,0.3001,1,0.028,0.3099,1.3379,0.2926,0.535,0.4039,0,0.9389,0.4546,0,0,0,3.2036,0.0334,0.6713,0.6713,0.6713,0.2927,0.5241,0.0311,0.2266,0.3172,0.4102,0.5645,2.3664,0.2616,0.6344,0.9217,0.3217,0.3749,2.2527,0.709,0.7228,0.3832,1.106,0.6996,6.3964,0.4288,0,0,0,0,0,0,0,0,5.87,0.27,22.04,0,8.51,0,0,0,0,0,3.82,12.42,43.02,32.41,0,0,48.5,19.9327,10.4,1,17.3,21.2303,5.8,18.4,17.9,30.7,10.1,0.7,6.1,0.1,25.7,9.6,5.8,13.4,9.5,0.1585,0.4568,0.3102,0.344,0.4322
35,61,970404,1400000US35061970404,35061970404,9704.04,Valencia,NM,New Mexico,"Census Tract 9704.04, Valencia County, New Mexic",4902,437,2842,0.7501,0.2098,0.7501,0.3169,0,0.0368,0.5115,0.2165,0.7648,0.1099,0,0.311,0,0,0,0,0.311,0.2313,1,0.1131,0.4137,1.5268,0.4688,0.5965,0.5683,0,1.1648,0.5585,0,0,0,3.7674,0.0821,0.7816,0.7816,0.7816,0.579,0.5884,0.8642,0.4724,0.495,0.1149,0.7783,3.8922,0.5898,0.6961,0.3854,0.9363,0.4203,2.4381,0.8317,0.762,0,0.762,0.4473,7.8739,0.668,0,0,0,0,0,0,0,0,6,0.41,24.49,0,0.55,0,0,0,0,0,19.6,10.67,57.99,66.62,0,0,66.3,33.9861,11.9,9.7,29.8,26.0709,2.3,26.1,19,20.5,23,0.9,8.3,0,28.5,10.2,5.9,14.6,12,0.2973,0.6245,0.3289,0.6463,0.5724
