County,Mean_EJI,Mean_EBM,Mean_SVM,Mean_HVM
Bernalillo,0.334251633986928,0.195471895424837,0.549881699346405,0.206535947712418
Catron,0.5942,0.103,0.7372,0.6
Chaves,0.605375,0.2108,0.80548125,0.5
Cibola,0.664414285714286,0.176442857142857,0.835371428571428,0.6
Colfax,0.6254,0.1082,0.826133333333333,0.6
Curry,0.465833333333333,0.209733333333333,0.71625,0.316666666666667
De Baca,0.6735,0.1157,0.897,0.6
Doña Ana,0.527239024390244,0.234756097560976,0.803675609756098,0.31219512195122
Eddy,0.394516666666667,0.246558333333333,0.636491666666667,0.2
Grant,0.4909125,0.096375,0.759175,0.4
Guadalupe,0.5453,0.2346,0.906,0.2
Harding,0.5208,0.021,0.6731,0.6
Hidalgo,0.5842,0.26885,0.851,0.3
Lea,0.401072222222222,0.143861111111111,0.709783333333333,0.233333333333333
Lincoln,0.458,0.04842,0.70244,0.44
Los Alamos,0.081975,0.072125,0.1547,0.15
Luna,0.77045,0.2638,0.970366666666667,0.666666666666667
McKinley,0.644288235294118,0.130464705882353,0.892558823529412,0.541176470588235
Mora,0.5196,0.0202,0.8716,0.4
Otero,0.3949,0.0767375,0.709475,0.3
Quay,0.7037,0.1609,0.810333333333333,0.733333333333333
Rio Arriba,0.396311111111111,0.0576,0.779466666666667,0.244444444444444
Roosevelt,0.53348,0.15104,0.86414,0.32
San Juan,0.490251515151515,0.167281818181818,0.729624242424242,0.36969696969697
San Miguel,0.508228571428571,0.0708285714285714,0.923928571428571,0.285714285714286
Sandoval,0.311218518518519,0.0882,0.555781481481482,0.259259259259259
Santa Fe,0.2275,0.0580244897959184,0.543040816326531,0.148
Sierra,0.652375,0.093425,0.78455,0.7
Socorro,0.603916666666667,0.254016666666667,0.790233333333333,0.433333333333333
Taos,0.37135,0.0178,0.77675,0.233333333333333
Torrance,0.54655,0.0095,0.73905,0.6
Union,0.4711,0.155,0.8485,0.2
Valencia,0.454144444444444,0.138538888888889,0.738238888888889,0.311111111111111
