State,Mean_EJI,Mean_EBM,Mean_SVM,Mean_HVM
Alabama,0.700456218057922,0.546085604770017,0.607422316865418,0.637957446808511
Arizona,0.410319642857143,0.276635294117647,0.538760568031704,0.301187335092349
Arkansas,0.629490643274854,0.42396102189781,0.618459708029197,0.565204678362573
California,0.465669889641335,0.522319276052104,0.550141228070176,0.171139430284856
Colorado,0.278323643724696,0.3533204048583,0.377913684210526,0.0980676328502414
Connecticut,0.461345818181818,0.573099515151515,0.39862703030303,0.26280193236715
Delaware,0.527799065420561,0.577967289719626,0.453069158878505,0.353271028037383
District Of Columbia,NaN,0.7889,0,NaN
District of Columbia,0.574088700564972,0.715989265536723,0.450691525423729,0.348314606741573
Florida,0.488502838585518,0.346276645843344,0.565881134342706,0.381608643457383
Georgia,0.576180984110713,0.557068919610855,0.59061137295082,0.352838874680307
Idaho,0.387854882154882,0.31593355704698,0.536569463087248,0.216161616161616
Illinois,0.531124349502088,0.683802536929993,0.454211813804173,0.25844572896596
Indiana,0.621268330006653,0.666465049833887,0.485489162234043,0.461661129568107
Iowa,0.350299635479952,0.405085662211422,0.38522879708384,0.204860267314702
Kansas,0.478234782608695,0.424223390275953,0.478284868421053,0.365526315789474
Kentucky,0.66639356884058,0.528908868778281,0.510172554347826,0.647016274864377
Louisiana,0.653643187889581,0.535553558718861,0.630839111111111,0.509252669039146
Maine,0.393525925925926,0.195377207977208,0.439386894586894,0.445014245014245
Maryland,0.46564678700361,0.594161732851986,0.384925703971119,0.277809798270894
Massachusetts,0.37587882111035,0.459206648389308,0.359737876712329,0.23732057416268
Michigan,0.547141288433382,0.55277697080292,0.450835513335769,0.433734061930783
Minnesota,0.261220586025545,0.347840495867769,0.344713373403456,0.105247376311844
Mississippi,0.684692541856925,0.46459802130898,0.694074885844749,0.580547112462006
Missouri,0.495544556596972,0.458454427645789,0.494835061195104,0.361643835616439
Montana,0.327143656716418,0.227668888888889,0.464409665427509,0.253531598513011
Nebraska,0.343130434782609,0.364508506616257,0.411487145557656,0.195488721804511
Nevada,0.37852418879056,0.277799557522124,0.559214601769912,0.217673048600884
New Hampshire,0.299691095890411,0.335972945205479,0.312191095890411,0.236986301369863
New Jersey,0.506581795386158,0.694601052104209,0.420642957393484,0.227113556778389
New Mexico,0.414284708249497,0.156097183098591,0.666406639839034,0.291967871485944
New York,0.518780324122169,0.582501408450705,0.481488414507772,0.294586776859503
North Carolina,0.512489001848429,0.40318831408776,0.574782909930716,0.381558321807285
North Dakota,0.33336,0.32226243902439,0.383809268292683,0.24780487804878
Ohio,0.600642900919306,0.70187842069435,0.449430268981954,0.418503401360544
Oklahoma,0.626584784688995,0.431018833652008,0.607451625239006,0.56822966507177
Oregon,0.488764727272727,0.375435636363636,0.51736896969697,0.37939393939394
Pennsylvania,0.57598648055207,0.705618526645767,0.423022961104141,0.363579474342927
Rhode Island,0.532605833333333,0.555378333333333,0.428335,0.400833333333333
South Carolina,0.572312177121771,0.449274838709677,0.586570783410138,0.451423324150597
South Dakota,0.303293693693694,0.208704054054054,0.455304054054054,0.223423423423423
Tennessee,0.641592881355932,0.509395463777928,0.542645460704607,0.595945945945947
Texas,0.525080203533027,0.464821016299138,0.60970575484366,0.29521256223669
Utah,0.27748852739726,0.386805650684931,0.351268493150685,0.092991452991453
Vermont,0.282967759562842,0.177778142076503,0.368680327868852,0.310382513661202
Virginia,0.395376256684492,0.419411579509071,0.419641987179487,0.260021321961621
Washington,0.343410318559557,0.32560595567867,0.446432340720221,0.204432132963989
West Virginia,0.764018181818182,0.558253305785124,0.517066115702479,0.833057851239669
Wisconsin,0.368724604316547,0.454431200575126,0.389560503597122,0.202011494252874
Wyoming,0.25020534351145,0.203340458015267,0.471532824427481,0.116030534351145
