State,Mean_EJI,Mean_EBM,Mean_SVM,Mean_HVM,Mean_CBM,Mean_EJI_CBM
Alabama,0.573442057382785,0.376487263820854,0.579516165150455,0.516155988857939,0.569822632311978,0.600480545836249
Alaska,NaN,NaN,NaN,NaN,NaN,NaN
American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
Arizona,0.443722677437969,0.336735409457901,0.52449076745528,0.339943342776204,0.559841926345609,0.472392960184651
Arkansas,0.653220097442143,0.39880694275274,0.615257612667479,0.62187120291616,0.638333171324423,0.700083678440926
California,0.549563820373852,0.678562264985623,0.557279769936954,0.190427050170159,0.424014633878581,0.509072724256166
Colorado,0.376759608665269,0.491611530398323,0.375885045422781,0.196544574982723,0.543089771941949,0.398916142557652
Commonwealth of the Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
Connecticut,0.492360366552119,0.572512027491409,0.412496449026346,0.323094425483504,0.831963139931741,0.641237457044673
Delaware,0.463275390625,0.4818234375,0.4405515625,0.324324324324324,0.732910038610039,0.56759765625
District of Columbia,0.437525490196078,0.658386274509804,0.397816666666667,0.154368932038835,0.322788834951456,0.358325490196078
Florida,0.459089311772826,0.31360457503451,0.555626562808124,0.367512690355329,0.520342581023038,0.470054269374877
Georgia,0.468697768981648,0.417679676258992,0.537005539568345,0.301898960945898,0.259812862773199,0.374682763584023
Guam,NaN,NaN,NaN,NaN,NaN,NaN
Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
Idaho,0.394201973684211,0.3729875,0.46222149122807,0.25219298245614,0.41378552631579,0.370603728070175
Illinois,0.487089434889435,0.609338655204176,0.462296253071254,0.229727244866687,0.533002972724486,0.503995147420147
Indiana,0.568930641330166,0.590074406175772,0.466124703087886,0.420082693443592,0.441136798582398,0.544880997624703
Iowa,0.391642264573991,0.465098094170404,0.401635650224215,0.231919642857143,0.853374553571429,0.562715807174888
Kansas,0.481420195838433,0.491213953488372,0.482875275397797,0.299396863691194,0.706574427020507,0.574688616891065
Kentucky,0.553071141975309,0.380327525057826,0.508260262345679,0.531699846860644,0.513405895865237,0.556670987654321
Louisiana,0.61501568914956,0.494796994134897,0.609537509157509,0.464539521392313,0.533882378535171,0.620116715542522
Maine,0.42317475,0.20901225,0.43213575,0.510224438902743,0.618858104738155,0.48220875
Maryland,0.439147596153846,0.553793063186813,0.400988392857143,0.255153583617748,0.635736109215017,0.50514842032967
Massachusetts,0.441393726474279,0.532456712672522,0.377066687578419,0.299380421313508,0.635554399008674,0.505845859473024
Michigan,0.52819263230716,0.544221300138312,0.443598650985818,0.393739481656007,0.213295590710199,0.401490418540297
Minnesota,0.352422963951936,0.484709612817089,0.361097930574099,0.166444740346205,0.601088948069241,0.403955740987984
Mississippi,0.536285763490241,0.329831572904707,0.651963145809414,0.409828571428572,0.567235428571429,0.564404133180252
Missouri,0.501559005457853,0.457343966040024,0.484842389326865,0.385852478839178,0.604680955259976,0.546513462704669
Montana,0.437624605678234,0.371094006309148,0.470597160883281,0.345454545454545,0.600245768025078,0.485404100946372
Nebraska,0.377918693284937,0.435885662431942,0.428366424682396,0.190596745027125,0.753359132007233,0.500556624319419
Nevada,0.495883896103896,0.47605084306096,0.574428961038961,0.274967907573813,0.493346084724005,0.497170779220779
New Hampshire,0.323837463976945,0.297491354466859,0.317355619596542,0.35243553008596,0.516818911174785,0.336864553314121
New Jersey,0.466903464203233,0.688649930715935,0.42681376443418,0.142344827586207,0.729112045977011,0.575110254041571
New Mexico,0.499743926788686,0.247758236272879,0.673216139767055,0.377450980392157,0.53298839869281,0.513030116472546
New York,0.505777608819616,0.611801596351198,0.496032972253896,0.226028921023358,0.450736021505376,0.480541798137236
North Carolina,0.398532374100719,0.270066881150644,0.554767890950398,0.284285714285714,0.376292518796992,0.350369367663764
North Dakota,0.353596929824561,0.364059649122807,0.419603947368421,0.235964912280702,0.701491228070175,0.456244298245614
Ohio,0.605221167883212,0.564943319581085,0.442226912091399,0.548197343453512,0.243237444655281,0.497889400190416
Oklahoma,0.635219514237856,0.433560720268007,0.609080820770519,0.557510373443984,0.734231203319502,0.715276968174204
Oregon,0.602246068548387,0.593442641129032,0.516342641129032,0.404225352112676,0.252118812877264,0.480226310483871
Pennsylvania,0.5253105,0.624030226403999,0.426983411764706,0.325863570391872,0.547976429608128,0.544922088235294
Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
Rhode Island,0.551918699186992,0.582567886178862,0.447528861788618,0.384615384615384,0.676484210526316,0.627306504065041
South Carolina,0.476096168582375,0.362006508422665,0.570145057471264,0.337433561123766,0.553652467729689,0.501985210727969
South Dakota,0.354539256198347,0.295984297520661,0.47243305785124,0.246280991735537,0.822068595041322,0.511792561983471
Tennessee,0.624595589988081,0.44132294398093,0.53695137067938,0.600940623162846,0.374250793650794,0.568800178784267
Texas,0.532043170838823,0.495097174645001,0.592433347972478,0.295700174317256,0.770442998256827,0.641830229834578
United States Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
